"OBJECTID","GEN","EWZ","Shape__Area","Shape__Length","death_rate","cases","deaths","cases_per_100k","cases_per_population","BL_ID","county","last_update","cases7_per_100k","recovered","EWZ_BL","cases7_bl_per_100k"
1,"Flensburg",90164,49182929.6872559,42752.5920153776,1.01522842639594,394,4,436.981500377091,0.436981500377091,"1","SK Flensburg","17.12.2020, 00:00 Uhr",53.2363249190364,NA,2903773,92.0870880747221
2,"Kiel",246794,112231447.576416,104373.457289284,1.455525606469,1855,27,751.639018776794,0.751639018776794,"1","SK Kiel","17.12.2020, 00:00 Uhr",117.101712359296,NA,2903773,92.0870880747221
3,"Lübeck",216530,211677111.391357,146459.457896987,0.644814615797958,1861,12,859.465201126865,0.859465201126865,"1","SK Lübeck","17.12.2020, 00:00 Uhr",178.266291045121,NA,2903773,92.0870880747221
4,"Neumünster",80196,71402241.6633301,54863.9954163623,1.34680134680135,594,8,740.685320963639,0.740685320963639,"1","SK Neumünster","17.12.2020, 00:00 Uhr",57.3594693002145,NA,2903773,92.0870880747221
5,"Dithmarschen",133193,1425510586.4812,250768.570200458,1.76767676767677,792,14,594.625843700495,0.594625843700495,"1","LK Dithmarschen","17.12.2020, 00:00 Uhr",63.8171675688662,NA,2903773,92.0870880747221
6,"Herzogtum Lauenburg",198019,1262106678.21631,255833.71981839,1.78189593727726,1403,25,708.517869497372,0.708517869497372,"1","LK Herzogtum Lauenburg","17.12.2020, 00:00 Uhr",79.2853211055505,NA,2903773,92.0870880747221
7,"Nordfriesland",165951,2088325676.54028,638776.023240264,0.493218249075216,811,4,488.698471235485,0.488698471235485,"1","LK Nordfriesland","17.12.2020, 00:00 Uhr",57.2458135232689,NA,2903773,92.0870880747221
8,"Ostholstein",200539,1385825364.35352,361935.231065052,0.740740740740741,810,6,403.911458619022,0.403911458619022,"1","LK Ostholstein","17.12.2020, 00:00 Uhr",67.3185764365036,NA,2903773,92.0870880747221
9,"Pinneberg",316103,636790164.927002,185849.13673433,2.04326923076923,3328,68,1052.82139049614,1.05282139049614,"1","LK Pinneberg","17.12.2020, 00:00 Uhr",133.50078929969,NA,2903773,92.0870880747221
10,"Plön",128686,1082369345.22974,228984.75975566,1.8140589569161,441,8,342.694621015495,0.342694621015495,"1","LK Plön","17.12.2020, 00:00 Uhr",39.6313507296831,NA,2903773,92.0870880747221
11,"Rendsburg-Eckernförde",274098,2167736469.53174,371442.746317188,1.28690386071158,1321,17,481.944414041693,0.481944414041693,"1","LK Rendsburg-Eckernförde","17.12.2020, 00:00 Uhr",73.6962692175791,NA,2903773,92.0870880747221
12,"Schleswig-Flensburg",201156,1989341044.20361,437586.51361338,1.12359550561798,623,7,309.709876911452,0.309709876911452,"1","LK Schleswig-Flensburg","17.12.2020, 00:00 Uhr",36.2902423989342,NA,2903773,92.0870880747221
13,"Segeberg",277175,1345047829.98413,287922.801842926,2.03291384317522,2066,42,745.377469107964,0.745377469107964,"1","LK Segeberg","17.12.2020, 00:00 Uhr",73.2389284747903,NA,2903773,92.0870880747221
14,"Steinburg",131013,1017354311.39941,206757.303493891,0.631911532385466,633,4,483.158159877264,0.483158159877264,"1","LK Steinburg","17.12.2020, 00:00 Uhr",106.859624617404,NA,2903773,92.0870880747221
15,"Stormarn",244156,765641644.19043,254210.27747419,2.87260616153206,2402,69,983.797244384738,0.983797244384738,"1","LK Stormarn","17.12.2020, 00:00 Uhr",140.074378675929,NA,2903773,92.0870880747221
16,"Hamburg",1847253,742081735.831543,234529.147981849,1.63617919434536,30559,500,1654.29424123279,1.65429424123279,"2","SK Hamburg","17.12.2020, 00:00 Uhr",130.518126104004,NA,1847253,130.518126104004
17,"Braunschweig",249406,192247923.298584,96243.2400090774,1.37895812053115,1958,27,785.065315188889,0.785065315188889,"3","SK Braunschweig","17.12.2020, 00:00 Uhr",95.827686583322,NA,7993608,91.2479070777551
18,"Salzgitter",104291,224933357.869873,109246.816466499,2.29960578186597,1522,35,1459.37808631617,1.45937808631617,"3","SK Salzgitter","17.12.2020, 00:00 Uhr",94.9266954962557,NA,7993608,91.2479070777551
